feasible,ei
0.0836557688612957,1.31187789520482e-08
0.0841380016782787,3.62089185301784e-08
0.0846804323625984,1.03623237990291e-07
0.0853402918541105,3.31681386356308e-07
0.0858434077994898,7.46110687899204e-07
0.0860449870083248,1.0150713336543e-06
0.0868673689637799,3.25242108090151e-06
0.0870025085154921,3.88713570842469e-06
0.087529043738381,7.53932791752732e-06
0.0881675604173215,1.57999005789833e-05
0.0885982399787754,2.51111098403811e-05
0.0890749904576223,4.06707517548455e-05
0.0899189079813659,8.89040244445027e-05
0.0902276482112939,0.000115912417463448
0.0907504903790541,0.000177485564268665
0.0910448011970147,0.000222884917928212
0.0915205669846618,0.000316621608499545
0.092019312932156,0.000447845547148162
0.0925608419307973,0.000637883994256683
0.0934410315793939,0.00108266844362959
0.0937126422624569,0.00126130374200706
